1,"Generate a clinical diagram of Primary Adrenal Insufficiency (Addison Disease). Show hyperpigmentation over elbows and palmar creases, low blood pressure, hyponatremia, hyperkalemia, and eosinophilia. Illustrate elevated ACTH stimulating melanocytes causing hyperpigmentation. Label: Autoimmune destruction or TB infection of adrenal cortex."
2,"Create a comparison diagram: Secondary vs Primary Adrenal Insufficiency. Left side: Secondary (low ACTH, normal aldosterone, no hyperpigmentation). Right side: Primary (high ACTH, low aldosterone, hyperpigmentation). Show pituitary surgery causing secondary insufficiency."
3,"Generate a pathophysiology diagram of Renal Artery Stenosis. Show narrowed renal artery with turbulent flow (bruit), decreased renal perfusion, elevated renin, secondary hyperaldosteronism, and resistant hypertension. Label: Fibromuscular dysplasia (young) vs Atherosclerosis (old)."
4,"Create a mechanism diagram of Primary Hyperaldosteronism. Show adrenal adenoma secreting excess aldosterone, suppressed renin, hypokalemia, metabolic alkalosis, and hypertension. Illustrate treatment with spironolactone/eplerenone blocking mineralocorticoid receptors."
5,"Generate a neonatal diagram of 21-Hydroxylase Deficiency (Congenital Adrenal Hyperplasia). Show ambiguous genitalia in genetic female, salt wasting (hyponatremia, hyperkalemia, hypotension), hypoglycemia, and elevated 17-hydroxyprogesterone. Illustrate blocked cortisol/aldosterone synthesis diverting to androgen pathway."
6,"Create a pathophysiology diagram of 11β-Hydroxylase Deficiency. Show accumulation of 11-deoxycorticosterone (mineralocorticoid) causing hypertension and hypokalemia, virilization from excess androgens, and low aldosterone despite mineralocorticoid effects."
7,"Generate a clinical diagram of Ectopic ACTH Syndrome from Small Cell Lung Cancer. Show pulmonary tumor secreting ACTH, elevated cortisol, hyperpigmentation, metabolic alkalosis, and failure to suppress with high-dose dexamethasone. Label: Rapid onset Cushing syndrome."
8,"Create a clinical presentation diagram of Pheochromocytoma. Show episodic symptoms: pounding headaches, palpitations, tremors, sweating, paroxysmal hypertension (210/110 mmHg). Illustrate elevated plasma metanephrines and treatment with alpha-blockade before beta-blockade."
9,"Generate a pediatric oncology diagram of Neuroblastoma. Show large midline-crossing abdominal mass, opsoclonus-myoclonus (dancing eyes, dancing feet), elevated VMA and HVA in urine. Label: Most common extracranial solid tumor of childhood, neural crest origin."
10,"Create a comparison diagram: Exogenous vs Endogenous Cushing Syndrome. Left: Exogenous steroids (low ACTH, low endogenous cortisol, no hyperpigmentation, adrenal atrophy). Right: Endogenous ACTH excess (high ACTH, high cortisol, hyperpigmentation)."
11,"Generate a bone pathology diagram of Primary Hyperparathyroidism. Show parathyroid adenoma, elevated PTH, hypercalcemia, hypophosphatemia, subperiosteal bone resorption, kidney stones. Label mnemonic: Stones, bones, groans, psychiatric overtones."
12,"Create a pathophysiology diagram of Secondary Hyperparathyroidism in CKD. Show chronic kidney disease, hyperphosphatemia, low calcium, elevated PTH, increased alkaline phosphatase, bone pain. Illustrate phosphate binders and vitamin D analogs as treatment."
13,"Generate an oncology diagram of Hypercalcemia of Malignancy. Show squamous cell carcinoma producing PTHrP, hypercalcemia, suppressed PTH, confusion, constipation. Label: PTHrP mimics PTH effects on bone and kidneys."
14,"Create a granulomatous disease diagram of Sarcoidosis. Show bilateral hilar lymphadenopathy, noncaseating granulomas with macrophages expressing 1α-hydroxylase, elevated 1,25-dihydroxyvitamin D, hypercalcemia, suppressed PTH. Label: African American patient, dry cough."
15,"Generate a bone metastasis diagram of Hypercalcemia from Osteolytic Lesions. Show metastatic breast cancer, lytic lesions in spine and ribs, bone destruction releasing calcium, hypercalcemia with normal PTH, bone pain."
16,"Create an electrolyte diagram of Hypomagnesemia Effects. Show chronic alcoholism, severe hypomagnesemia inhibiting PTH secretion and PTH activity, secondary hypocalcemia, renal potassium wasting causing hypokalemia. Label: Correct magnesium first."
17,"Generate a pediatric nutrition diagram of Rickets (Vitamin D Deficiency). Show limited sun exposure, vegetarian diet, bowing of legs, widened costochondral junctions (rachitic rosary), craniotabes, frontal bossing, delayed walking."
18,"Create a surgical complication diagram of Post-Thyroidectomy Hypoparathyroidism. Show accidental parathyroid removal, low calcium, low PTH, muscle cramps, perioral tingling, carpopedal spasms, positive Chvostek and Trousseau signs."
19,"Generate an obstetric complication diagram of Sheehan Syndrome. Show massive postpartum hemorrhage, ischemic pituitary necrosis, inability to lactate (low prolactin), low ACTH, low cortisol, low TSH. Label: Pituitary vulnerable during pregnancy."
20,"Create a pituitary tumor diagram of Prolactinoma. Show prolactin-secreting adenoma, elevated prolactin suppressing GnRH, low LH/FSH, amenorrhea, galactorrhea, headaches. Illustrate treatment with dopamine agonists (cabergoline, bromocriptine)."
21,"Generate a pharmacology diagram of Antipsychotic-Induced Hyperprolactinemia. Show risperidone blocking D2 receptors in tuberoinfundibular pathway, elevated prolactin, amenorrhea, galactorrhea. Label: No headaches or visual changes (unlike prolactinoma)."
