1,"Generate a clinical diagram of Physical Child Abuse (Shaken Baby Syndrome). Show 6-month-old infant with lethargy and seizures, bilateral retinal hemorrhages, multiple posterior rib fractures at various stages of healing, forceful squeezing causing rib fractures. Label: Mandatory reporting to child protective services required, retinal hemorrhages + subdural hematomas are classic for abusive head trauma."
2,"Create a clinical diagram of ADHD (Attention-Deficit/Hyperactivity Disorder). Show 9-year-old boy with difficulty staying seated, interrupting classmates, losing focus during lessons, symptoms present in multiple settings (home and school), functional impairment. Label: First-line therapy: stimulants (methylphenidate or amphetamines), non-stimulant options include atomoxetine or guanfacine."
3,"Generate a developmental disorder diagram of Autism Spectrum Disorder. Show 3-year-old girl avoiding eye contact, not responding to name, repeatedly spinning same toy, limited speech (single words only), deficits in social communication and restricted repetitive behaviors. Label: More common in males, may be associated with macrocephaly, early intervention significantly improves outcomes."
4,"Create a behavioral disorder diagram of Conduct Disorder. Show 16-year-old boy with aggression toward peers, destruction of property, repeated theft, no remorse, fighting, behaviors persisting over a year. Label: Can progress to Antisocial Personality Disorder in adulthood, treatment includes therapy targeting impulse control and social skills."
5,"Generate a behavioral disorder diagram of Oppositional Defiant Disorder. Show 8-year-old boy arguing with teachers, refusing to comply with instructions, deliberately annoying classmates, similar behaviors at home, no aggression toward people/animals. Label: Behavioral therapy is first-line, does not include aggression toward people/animals."
6,"Create an anxiety disorder diagram of Selective Mutism. Show 7-year-old girl speaking normally at home, refusing to speak in classroom despite understanding material, symptoms persisting for two months, affecting academic performance. Label: Behavioral therapy and gradual exposure techniques are effective, often coexists with social anxiety."
7,"Generate a movement disorder diagram of Tourette Syndrome. Show 10-year-old boy with repetitive blinking (motor tic) and throat-clearing (vocal tic), symptoms for over a year, worsening under stress. Label: Treatment includes behavioral therapy, severe cases may require antipsychotics, tics often wax and wane."
8,"Create a developmental milestone diagram of Babbling (6 months). Show 6-month-old infant making repetitive consonant-vowel sounds (ba-ba, da-da), rolling from back to front, sitting briefly when supported. Label: Babbling usually begins around 4-6 months, lack of babbling may suggest hearing impairment or developmental delay."
9,"Generate a social development diagram of Parallel Play (2 years). Show 2-year-old boy walking independently, climbing stairs with assistance, kicking ball, playing next to other children without direct interaction or sharing toys. Label: Parallel play common between ages 2-3 years, cooperative play usually develops around age 4-5 years."
10,"Create a language development diagram of Storytelling (4 years). Show 4-year-old girl riding tricycle, hopping on one foot, playing actively with other children, describing events from day, narrating short sequences with beginning and end. Label: By age 4, children usually speak in full sentences, storytelling reflects both language development and cognitive sequencing abilities."
11,"Generate a behavioral psychology diagram of Positive Reinforcement. Show 7-year-old boy staying in seat during classroom lessons, teacher giving sticker each time he completes full lesson without interrupting, behavior improving over several weeks. Label: Reinforcement increases behavior, positive = adding something pleasant."
12,"Create a behavioral psychology diagram of Extinction. Show 10-year-old girl interrupting parents during phone conversations, parents ignoring interruptions completely, giving attention only when she waits patiently, interruptions decreasing over time. Label: Extinction often causes temporary extinction burst before behavior fades, different from punishment."
13,"Generate a behavioral psychology diagram of Negative Punishment. Show 6-year-old boy refusing to put away toys, parents removing evening screen time each time he refuses, child beginning to clean up consistently after few weeks. Label: Negative punishment = remove reward to decrease behavior, common example: time-out removes access to desirable activities."
14,"Create a behavioral psychology diagram of Negative Reinforcement. Show 12-year-old boy with asthma using rescue inhaler to stop wheezing, inhaler bringing relief, using it more promptly whenever symptoms start. Label: Negative reinforcement ≠ punishment, removing negative stimulus increases behavior."
15,"Generate a psychotic disorder diagram of Schizophrenia. Show 25-year-old man with bizarre behavior over 7 months, hearing multiple voices commenting on actions, believing coworkers can access thoughts, social withdrawal, employment struggles. Label: Requires at least 6 months of continuous disturbance, atypical antipsychotics are first-line therapy, negative symptoms predict long-term functional impairment."
16,"Create a psychotic disorder diagram of Schizoaffective Disorder. Show 30-year-old woman with 8-month history of intermittent auditory hallucinations, previous depressive episode resolved two months ago, hallucinations continuing in absence of mood symptoms, mood currently stable. Label: Must separate psychotic symptoms from mood episodes, treatment combines antipsychotics with mood stabilizers or antidepressants."
17,"Generate a mood disorder diagram of Major Depressive Disorder. Show 32-year-old woman with 3-month history of low mood, excessive guilt, difficulty sleeping, trouble concentrating at work, symptoms impairing daily function, no periods of elevated mood or psychosis. Label: SSRIs and psychotherapy are first-line treatments, screening for suicidal ideation is essential."
18,"Create a personality disorder diagram of Schizotypal Personality Disorder. Show 25-year-old man with unusual beliefs, social isolation, elaborate clothing, claims of mystical abilities, tangential overly abstract speech, discomfort around others, no hallucinations or fixed delusions. Label: Classified under Cluster A (odd/eccentric) personality disorders, may progress to schizophrenia in some cases."
19,"Generate a personality disorder diagram of Obsessive-Compulsive Personality Disorder. Show 45-year-old woman as rigid, perfectionistic, overly controlling, spending hours correcting minor details, difficulty delegating tasks, believing strict standards are appropriate, no distress regarding behavior. Label: OCPD is ego-syntonic (unlike OCD which is ego-dystonic), treated primarily with psychotherapy."
20,"Create a personality disorder diagram of Borderline Personality Disorder. Show 28-year-old woman with intense unstable relationships, rapid shifts between admiration and anger, chronic fears of abandonment, impulsive spending, emotional outbursts, feeling empty inside. Label: Dialectical behavior therapy (DBT) is treatment of choice, self-harm behaviors may occur and require careful monitoring."
21,"Generate a personality disorder diagram of Histrionic Personality Disorder. Show 35-year-old man exaggerating emotions, speaking dramatically, uncomfortable when not center of attention, using flamboyant clothing and behavior to draw focus. Label: Trait: uncomfortable when not center of attention, part of Cluster B (dramatic, emotional, erratic)."
22,"Create a personality disorder diagram of Narcissistic Personality Disorder. Show 40-year-old man boasting about accomplishments, reacting angrily when others fail to admire him, believing superior to coworkers, lacking empathy, exploiting others to advance career. Label: Narcissistic injury → rage when criticized, Cluster B personality disorder."
23,"Generate a personality disorder diagram of Avoidant Personality Disorder. Show 30-year-old woman avoiding work gatherings and social outings due to fear of rejection, desiring friendships but held back by feelings of inadequacy and concerns about criticism, no history of aggression or isolation by choice. Label: Often confused with Social Anxiety Disorder, avoidant PD is more pervasive across life domains, Cluster C (anxious, fearful)."
24,"Create a personality disorder diagram of Dependent Personality Disorder. Show 50-year-old man relying heavily on spouse to make decisions, becoming distressed at thought of being alone, avoiding disagreeing with others to maintain support, believing cannot care for self. Label: Treatment encourages autonomy and self-efficacy, Cluster C personality disorder."
25,"Generate a personality disorder diagram of Borderline Personality Disorder (Self-Harm). Show 29-year-old woman with long history of unstable romantic relationships, impulsive spending, intense mood swings, chronic fears of abandonment, past history of self-harm during times of emotional stress. Label: DBT improves emotional regulation and interpersonal effectiveness, dichotomous thinking is highly characteristic."
26,"Create a personality disorder diagram of Antisocial Personality Disorder. Show 19-year-old man detained after assaulting neighbor and stealing property, showing no remorse, history of similar behaviors since childhood, cruelty toward animals and serious rule violations before age 15. Label: Strong association with criminal behavior and disregard for rules, Cluster B personality disorder."
27,"Generate a personality disorder diagram of Borderline Personality Disorder (Splitting). Show 24-year-old woman with pattern of intense unstable relationships, extreme shifts between admiration and anger, fearing abandonment, idealizing partner but quickly devaluing former partners. Label: DBT improves emotional regulation and interpersonal effectiveness, dichotomous thinking is highly characteristic."
28,"Create a personality disorder diagram of Dependent Personality Disorder (Abusive Relationship). Show 35-year-old woman remaining in abusive relationship despite repeated harm, stating cannot function alone, constantly seeking guidance and reassurance from partner. Label: Often presents with difficulty making decisions independently, therapy focuses on building assertiveness and autonomy."
